Object ID,Line Phrase,Word Count,Platonic Object,Word Form,Gender,Process End Year,Platonic Room,Room Phrase,Provenance
9608,Item unam choppam cum mantello de panno Florencie de livido claro sive turquea dicto mantello foderato de vairis cum alio parvo mantello de panno de gris et capucio eiusdem panni foderato de sirico dicte domine Raynaude,36,houppelande,chopa,,1391,bedroom,Primo in camera paramenti,Marseille
9609,Item unum mantellum de scarlata foderatum de vairis dicte domine Raynaude,11,cloak,mantellum,,1391,bedroom,Primo in camera paramenti,Marseille
9610,Item unam cottam cum capucio de panno rubeo mulieris,9,cotte,cota,female,1391,bedroom,Primo in camera paramenti,Marseille
9611,Item unam cottam mulieris de panno mesclati cum capucio rubeo,10,cotte,cota,female,1391,bedroom,Primo in camera paramenti,Marseille
9612,Item unum mantellum de gris mulieris simplex,7,cloak,mantellum,female,1391,bedroom,Primo in camera paramenti,Marseille
9613,Item unum mantellum de chamelot foderatum de sirico viridi claro,10,cloak,mantellum,,1391,bedroom,Primo in camera paramenti,Marseille
9631,Item unam choppam hominis foderatam de boscassino livido,8,houppelande,chopa,male,1391,bedroom,In alia camera iuxta aulam,Marseille
9632,Item unam choppam hominis bispertitam de panno albo et livido cum penna cuniculorum,13,houppelande,chopa,male,1391,bedroom,In alia camera iuxta aulam,Marseille
9633,Item unam choppam hominis de panno burelli cum penna nigra,10,houppelande,chopa,male,1391,bedroom,In alia camera iuxta aulam,Marseille
9634,Item unum mantellum de frisia hominis,6,cloak,mantellum,male,1391,bedroom,In alia camera iuxta aulam,Marseille
9635,Item unam choppam de mesclato cum penna de fayna,9,houppelande,chopa,,1391,bedroom,In alia camera iuxta aulam,Marseille
9636,Item unam choppam de mesclato,5,houppelande,chopa,,1391,bedroom,In alia camera iuxta aulam,Marseille
9637,Item unum jaque de veluto lividi,6,jacket,jaqueta,,1391,bedroom,In alia camera iuxta aulam,Marseille
9638,Item duas tunicas hominis de burello cum pennis albis,9,tunic,tunica,male,1391,bedroom,In alia camera iuxta aulam,Marseille
9639,Item sex paria caligarum tam bona quam debilia,8,shoe,caliga,,1391,bedroom,In alia camera iuxta aulam,Marseille
9944,Item in dicta fronteria perlarum ... florenos 4^or^,8,headband,fronteria,,1392,,,Marseille
9945,Item in una cota nuptialis dicte Anthonete panni de pureya cum veta aurea et cum una bursa sirici ... florenos auri tres,22,cotte,cota,,1392,,,Marseille
9946,Item in uno pari manicarum rubearum cum quisdem condulis parvis perlarum ... 1fl. 3gr.,14,sleeves,manica,,1392,,,Marseille
9947,Item in uno capucio panni albi cum condulis fili auri ... 5gr.,12,hood,capucium,,1392,,,Marseille
9955,Item in una garnachia alba hominis ... 6gr.,8,surcoat,guarnacca,male,1392,,,Marseille
9959,Item in uno mantulo hominis panni de mesclato ... _fl.,10,cloak,mantellum,male,1392,,,Marseille
9995,Item 1 suppelitium modici valoris,5,surplice,superpellicium,,1395,bedroom,In camera dicte domus,Marseille
9996,Item 3 camisie modici valoris,5,chemise,camisia,,1395,bedroom,In camera dicte domus,Marseille
9997,Item 2 faniuleres? modici valoris,5,breeches,famulare,,1395,bedroom,In camera dicte domus,Marseille
9998,Item 1 chopa modici valoris panni obscuri,7,houppelande,chopa,,1395,bedroom,In camera dicte domus,Marseille
9999,Item 1 capa nigra de sargia,6,cape,capa,,1395,bedroom,In camera dicte domus,Marseille
10000,Item 1 folratura de penna nigra modici valoris,8,lining,folratura,,1395,bedroom,In camera dicte domus,Marseille
10015,Item 1 aliud suppellitium modici valoris,6,surplice,superpellicium,,1395,,,Marseille
10058,Item 1 marsupium cum botonis argenti albi,7,purse,marsupium,,1395,bedroom,Et primo in camera domus ipsius Petri,Marseille
10076,Item 2 paria caligarum quarum unum est –rubea– nigra et alia alba,12,shoe,caliga,,1395,bedroom,Et primo in camera domus ipsius Petri,Marseille
10077,Item 1 capucium rubeum hominis,5,hood,capucium,male,1395,bedroom,Et primo in camera domus ipsius Petri,Marseille
10176,una chopa de mesclato,4,houppelande,chopa,,1395,,Item ... raupe persone dicte domine Dulciete ut sunt ,Marseille
10177,una manta de canellato,4,greatcloak,manta,,1395,,Item ... raupe persone dicte domine Dulciete ut sunt ,Marseille
10178,unum capucium viride cum 12 condulis perlarum,7,hood,capucium,,1395,,Item ... raupe persone dicte domine Dulciete ut sunt ,Marseille
10179,una zona argentea,3,belt,zona,,1395,,Item ... raupe persone dicte domine Dulciete ut sunt ,Marseille
10181,duo anuli auri cum perlis,5,ring,anulus,,1395,,Item ... raupe persone dicte domine Dulciete ut sunt ,Marseille
10182,et una zona bovis marini,5,belt,zona,,1395,,Item ... raupe persone dicte domine Dulciete ut sunt ,Marseille
10184,due mante una videlicet de livido foderata de rubeo et altera de obscuro cum tribus grossis et uno parvo condulis –pla– argenti que fuerunt domine Jacmete matris dicti Bartholomei,29,greatcloak,manta,,1395,,Item transegerunt etc. quod ,Marseille
10186,tres anuli auri cum lapidibus,5,ring,anulus,,1395,,Item transegerunt etc. quod ,Marseille
10187,una zona bovis marini munita de argento,7,belt,zona,,1395,,Item transegerunt etc. quod ,Marseille
10334,Item 1 capucium hominis rubeum,5,hood,capucium,male,1396,bedroom,In quadam alia camera,Marseille
10335,Item 1 capucium rubeum infantis,5,hood,capucium,,1396,bedroom,In quadam alia camera,Marseille
10338,Item 1 capucium mulieris rubeum,5,hood,capucium,female,1396,bedroom,In quadam alia camera,Marseille
10339,Item 1 tunica alba mulieris,5,tunic,tunica,female,1396,bedroom,In quadam alia camera,Marseille
10341,Item 1 mantulum scarlete mulieris,5,cloak,mantellum,female,1396,bedroom,In quadam alia camera,Marseille
