id,date_of_plunder,town,lat,lon,object,category
"4560","17 June, 1338","Camigliano","43.889334","10.606004","cloak","clothing"
"4561","17 June, 1338","Camigliano","43.889334","10.606004","guarnellum","clothing"
"5148","25 August, 1338","Camigliano","43.889334","10.606004","tunic","clothing"
"5149","25 August, 1338","Camigliano","43.889334","10.606004","chemise","clothing"
"5150","25 August, 1338","Camigliano","43.889334","10.606004","barracan","clothing"
"3942","02 October, 1335","Camigliano","43.889334","10.606004","tunic","clothing"
"3929","02 October, 1335","Camigliano","43.889334","10.606004","sorghum","foodstuffs"
"3930","02 October, 1335","Camigliano","43.889334","10.606004","panic","foodstuffs"
"3936","02 October, 1335","Camigliano","43.889334","10.606004","sorghum","foodstuffs"
"3935","02 October, 1335","Camigliano","43.889334","10.606004","sorghum","foodstuffs"
"3948","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3949","02 October, 1335","Camigliano","43.889334","10.606004","coin","money"
"3954","02 October, 1335","Camigliano","43.889334","10.606004","sorghum","foodstuffs"
"3939","02 October, 1335","Camigliano","43.889334","10.606004","wine","foodstuffs"
"3943","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3923","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3924","02 October, 1335","Camigliano","43.889334","10.606004","sorghum","foodstuffs"
"3950","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3941","02 October, 1335","Camigliano","43.889334","10.606004","sorghum","foodstuffs"
"3952","02 October, 1335","Camigliano","43.889334","10.606004","sorghum","foodstuffs"
"3914","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3944","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3951","02 October, 1335","Camigliano","43.889334","10.606004","wine","foodstuffs"
"3916","02 October, 1335","Camigliano","43.889334","10.606004","coin","money"
"3917","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3918","02 October, 1335","Camigliano","43.889334","10.606004","coin","money"
"3931","02 October, 1335","Camigliano","43.889334","10.606004","sorghum","foodstuffs"
"3932","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3919","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3927","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3933","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3953","02 October, 1335","Camigliano","43.889334","10.606004","millet","foodstuffs"
"3940","02 October, 1335","Camigliano","43.889334","10.606004","coin","money"
"218","28 January, 1333","Capannori","43.840789","10.565554","debt","money"
"220","28 January, 1333","Capannori","43.840789","10.565554","wine","foodstuffs"
"236","29 January, 1333","Capannori","43.840789","10.565554","unclear","unclear"
"237","29 January, 1333","Capannori","43.840789","10.565554","fava beans","foodstuffs"
"405","08 February, 1333","Capannori","43.840789","10.565554","debt","money"
"480","11 February, 1333","Capannori","43.840789","10.565554","wine","foodstuffs"
"481","11 February, 1333","Capannori","43.840789","10.565554","wine","foodstuffs"
"601","04 March, 1333","Capannori","43.840789","10.565554","grain","foodstuffs"
"610","02 March, 1333","Capannori","43.840789","10.565554","millet","foodstuffs"
"691","08 March, 1333","Capannori","43.840789","10.565554","fava beans","foodstuffs"
"692","08 March, 1333","Capannori","43.840789","10.565554","flax","materials"
"886","13 April, 1333","Capannori","43.840789","10.565554","plank","materials"
"1147","22 December, 1333","Capannori","43.840789","10.565554","fava beans","foodstuffs"
"1148","22 December, 1333","Capannori","43.840789","10.565554","sorghum","foodstuffs"
"1149","22 December, 1333","Capannori","43.840789","10.565554","millet","foodstuffs"
"1168","23 December, 1333","Capannori","43.840789","10.565554","millet","foodstuffs"
"1170","23 December, 1333","Capannori","43.840789","10.565554","flax","materials"
"1367","10 May, 1334","Capannori","43.840789","10.565554","coverlet","linens"
"1368","10 May, 1334","Capannori","43.840789","10.565554","mattress","furniture"
"1369","10 May, 1334","Capannori","43.840789","10.565554","wheel iron","materials"
"1370","10 May, 1334","Capannori","43.840789","10.565554","cart hoop","materials"
"1501","03 July, 1334","Capannori","43.840789","10.565554","fava beans","foodstuffs"
"1533","13 July, 1334","Capannori","43.840789","10.565554","fava beans","foodstuffs"
"1534","13 July, 1334","Capannori","43.840789","10.565554","grain","foodstuffs"
"1536","13 July, 1334","Capannori","43.840789","10.565554","grain","foodstuffs"
"1630","24 July, 1334","Capannori","43.840789","10.565554","fava beans","foodstuffs"
"1633","24 July, 1334","Capannori","43.840789","10.565554","grain","foodstuffs"
"1641","29 July, 1334","Capannori","43.840789","10.565554","grain","foodstuffs"
"1642","24 July, 1334","Capannori","43.840789","10.565554","fava beans","foodstuffs"
"2162","10 September, 1334","Capannori","43.840789","10.565554","cattle","animal"
"2805","24 March, 1335","Capannori","43.840789","10.565554","fava beans","foodstuffs"
"2806","24 March, 1335","Capannori","43.840789","10.565554","sorghum","foodstuffs"
"2807","24 March, 1335","Capannori","43.840789","10.565554","panic","foodstuffs"
"2808","24 March, 1335","Capannori","43.840789","10.565554","beans","foodstuffs"
"2809","24 March, 1335","Capannori","43.840789","10.565554","wine","foodstuffs"
"3047","06 April, 1335","Capannori","43.840789","10.565554","coin","money"
"3373","14 June, 1335","Capannori","43.840789","10.565554","blane","foodstuffs"
"3487","28 June, 1335","Capannori","43.840789","10.565554","grain","foodstuffs"
"3558","01 July, 1335","Capannori","43.840789","10.565554","rye","foodstuffs"
"3559","01 July, 1335","Capannori","43.840789","10.565554","flax","materials"
